Model loaded successfully from 'datasets/dummy15.txt'
***NEW BEST = 2867009.9471489345***
========= SOLUTION ==========
58 152 8622.1
58 59 8748.2
58 445 9169.6
58 282 9793.3
58 415 10112.8
59 0 7998.0
59 452 8830.7
59 3 9332.6
59 299 9882.9
59 300 10482.5
59 98 11174.5
60 0 7998.0
60 192 8508.2
60 363 9221.4
60 219 9767.6
60 431 10327.9
60 361 10726.7
61 0 7998.0
61 150 8116.7
61 322 8708.0
61 224 8989.8
61 110 9459.4
61 16 9691.0
62 0 7998.0
62 435 8688.7
62 2 9091.0
62 348 9787.2
62 486 10070.0
62 151 10721.9
63 0 7998.0
63 43 8680.2
63 304 8928.3
63 177 9448.3
63 418 10099.5
63 410 10645.7
64 0 7998.0
64 233 8505.2
64 273 8748.2
64 448 9569.5
64 345 10080.1
64 449 10587.8
65 0 7998.0
65 427 8719.1
65 332 8896.9
65 5 9183.2
65 105 9525.5
65 141 9944.8
66 0 7998.0
66 120 8767.6
66 146 9506.0
66 246 9856.6
66 308 10065.0
66 313 10553.0
67 0 7998.0
67 473 9012.8
67 260 9911.4
67 470 10607.7
67 416 10932.8
67 346 11322.4
68 0 7998.0
68 375 8561.2
68 432 8734.6
68 249 9578.5
68 107 10020.0
68 463 10435.4
69 0 7998.0
69 39 8489.5
69 478 8837.6
69 8 9088.4
69 471 9333.4
69 136 9879.7
70 0 7998.0
70 234 8192.6
70 185 8318.2
70 295 8507.7
70 430 8606.3
70 138 8771.4
71 0 7998.0
71 45 8780.1
71 124 9070.6
71 140 9693.6
71 383 10187.1
71 492 10921.9
72 0 7998.0
72 95 8785.9
72 331 9113.6
72 206 9265.1
72 285 9584.1
72 236 10011.4
73 0 7998.0
73 96 8861.3
73 386 9454.9
73 125 9797.2
73 174 10149.2
73 63 10411.4
74 0 7998.0
74 58 8695.2
74 314 8984.3
74 90 9850.5
74 371 10345.5
74 329 10502.1
75 0 7998.0
75 269 8162.8
75 116 8300.6
75 117 8670.4
75 340 9257.2
75 119 9327.8
76 0 7998.0
76 349 8590.2
76 175 8778.6
76 303 9374.3
76 83 9922.6
76 108 10466.2
77 0 7998.0
77 446 8230.4
77 465 8754.6
77 426 9411.6
77 109 10175.7
77 34 10769.0
78 0 7998.0
78 315 8984.3
78 401 9277.1
78 272 9537.5
78 461 10049.7
78 194 10449.3
79 0 7998.0
79 23 8664.3
79 279 8989.1
79 69 9413.8
79 199 9761.1
79 277 9924.7
80 0 7998.0
80 66 8337.4
80 485 9046.9
80 14 9400.3
80 327 10163.4
80 263 10617.5
81 0 7998.0
81 477 8493.6
81 248 8902.7
81 394 9127.4
81 453 9228.6
81 297 9860.1
82 0 7998.0
82 283 8260.4
82 101 8408.3
82 53 8953.5
82 50 9524.9
82 288 10050.1
83 0 7998.0
83 1 8400.2
83 122 8698.8
83 41 8935.0
83 333 9582.4
83 278 10216.1
84 0 7998.0
84 320 8738.2
84 48 9214.4
84 97 9396.1
84 372 9579.3
84 82 9975.8
85 0 7998.0
85 237 8935.5
85 454 9040.2
85 476 9750.2
85 91 9942.3
85 131 10145.9
86 0 7998.0
86 374 8759.6
86 129 9308.4
86 423 9948.4
86 170 10557.2
86 403 10596.0
87 0 7998.0
87 94 8792.6
87 76 9198.9
87 155 9488.5
87 137 9689.4
87 385 9916.3
